,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,pKi,relation,units,Ki,target_chembl_id,target_organism,type
10,67380,CHEMBL649782,Binding affinity for human Adenosine A2A receptor from HEK293 cells,B,CHEMBL16687,8.77,=,nM,1.7,CHEMBL251,Homo sapiens,Ki
11,68972,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL341777,7.4,=,nM,40.0,CHEMBL251,Homo sapiens,Ki
12,70348,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL135719,7.26,=,nM,55.0,CHEMBL251,Homo sapiens,Ki
13,85402,CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,CHEMBL61259,6.22,=,nM,600.0,CHEMBL251,Homo sapiens,Ki
14,90287,CHEMBL641568,Displacement of [3H]-CGS- 21680 from A2A receptor in human brain membrane,B,CHEMBL287321,4.65,=,nM,22500.0,CHEMBL251,Homo sapiens,Ki
15,91358,CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,CHEMBL464859,7.7,=,nM,20.0,CHEMBL251,Homo sapiens,Ki
16,100321,CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,CHEMBL3350496,4.33,=,nM,46600.0,CHEMBL251,Homo sapiens,Ki
17,183859,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113189,6.56,=,nM,277.0,CHEMBL251,Homo sapiens,Ki
18,183861,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112195,7.46,=,nM,35.0,CHEMBL251,Homo sapiens,Ki
19,183863,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113541,7.64,=,nM,23.0,CHEMBL251,Homo sapiens,Ki
20,184804,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL261453,6.79,=,nM,163.0,CHEMBL251,Homo sapiens,Ki
21,186289,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL258535,7.19,=,nM,64.0,CHEMBL251,Homo sapiens,Ki
22,187518,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL574597,5.07,=,nM,8530.0,CHEMBL251,Homo sapiens,Ki
23,187838,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL109845,7.57,=,nM,27.0,CHEMBL251,Homo sapiens,Ki
24,189881,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092941,8.15,=,nM,7.0,CHEMBL251,Homo sapiens,Ki
25,190190,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110646,7.21,=,nM,61.0,CHEMBL251,Homo sapiens,Ki
26,190192,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113228,7.85,=,nM,14.0,CHEMBL251,Homo sapiens,Ki
27,191176,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL437842,6.57,=,nM,267.0,CHEMBL251,Homo sapiens,Ki
28,192275,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL607759,5.35,=,nM,4450.0,CHEMBL251,Homo sapiens,Ki
29,192281,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2094083,8.51,=,nM,3.1,CHEMBL251,Homo sapiens,Ki
30,192287,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL258534,7.41,=,nM,39.0,CHEMBL251,Homo sapiens,Ki
31,192592,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL432624,7.12,=,nM,76.0,CHEMBL251,Homo sapiens,Ki
32,193782,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113967,8.7,=,nM,2.0,CHEMBL251,Homo sapiens,Ki
33,194904,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113542,7.82,=,nM,15.0,CHEMBL251,Homo sapiens,Ki
34,194906,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112740,7.3,=,nM,50.0,CHEMBL251,Homo sapiens,Ki
35,194908,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112631,8.52,=,nM,3.0,CHEMBL251,Homo sapiens,Ki
36,194910,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL323945,8.52,=,nM,3.0,CHEMBL251,Homo sapiens,Ki
37,195774,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092787,7.02,=,nM,96.0,CHEMBL251,Homo sapiens,Ki
38,195780,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL262363,8.74,=,nM,1.8,CHEMBL251,Homo sapiens,Ki
39,196118,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325993,7.21,=,nM,62.0,CHEMBL251,Homo sapiens,Ki
40,196120,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325646,7.24,=,nM,57.0,CHEMBL251,Homo sapiens,Ki
41,197938,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092786,6.56,=,nM,273.0,CHEMBL251,Homo sapiens,Ki
42,198262,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325350,8.05,=,nM,9.0,CHEMBL251,Homo sapiens,Ki
43,198264,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL109499,7.96,=,nM,11.0,CHEMBL251,Homo sapiens,Ki
44,199174,CHEMBL642127,Displacement of [3H]CGS-21680 from Adenosine A2A receptor in bovine striatal membrane,B,CHEMBL309618,5.67,=,nM,2140.0,CHEMBL251,Homo sapiens,Ki
45,199226,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL410115,5.81,=,nM,1560.0,CHEMBL251,Homo sapiens,Ki
46,199627,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112773,8.7,=,nM,2.0,CHEMBL251,Homo sapiens,Ki
47,200495,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092788,7.03,=,nM,94.0,CHEMBL251,Homo sapiens,Ki
48,200501,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL438418,6.49,=,nM,324.0,CHEMBL251,Homo sapiens,Ki
49,200824,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113376,7.57,=,nM,27.0,CHEMBL251,Homo sapiens,Ki
50,200826,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110698,8.22,=,nM,6.0,CHEMBL251,Homo sapiens,Ki
51,200828,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL114405,6.98,=,nM,104.0,CHEMBL251,Homo sapiens,Ki
52,200830,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL17127,9.22,=,nM,0.6,CHEMBL251,Homo sapiens,Ki
53,201721,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL408918,7.54,=,nM,29.0,CHEMBL251,Homo sapiens,Ki
54,203305,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL109753,6.72,=,nM,190.0,CHEMBL251,Homo sapiens,Ki
55,204201,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL410095,5.93,=,nM,1181.0,CHEMBL251,Homo sapiens,Ki
56,204532,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110074,8.4,=,nM,4.0,CHEMBL251,Homo sapiens,Ki
57,204534,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL324077,8.22,=,nM,6.0,CHEMBL251,Homo sapiens,Ki
58,204536,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL323621,8.4,=,nM,4.0,CHEMBL251,Homo sapiens,Ki
59,204538,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL420307,8.3,=,nM,5.0,CHEMBL251,Homo sapiens,Ki
60,205331,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL260563,5.91,=,nM,1230.0,CHEMBL251,Homo sapiens,Ki
61,206905,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112897,7.4,=,nM,40.0,CHEMBL251,Homo sapiens,Ki
62,206907,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112249,6.72,=,nM,192.0,CHEMBL251,Homo sapiens,Ki
63,206909,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL320349,7.92,=,nM,12.0,CHEMBL251,Homo sapiens,Ki
64,207732,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL3350613,8.19,=,nM,6.4,CHEMBL251,Homo sapiens,Ki
65,207738,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL224874,8.7,=,nM,2.0,CHEMBL251,Homo sapiens,Ki
66,208069,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113009,7.36,=,nM,44.0,CHEMBL251,Homo sapiens,Ki
67,208915,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL223270,6.21,=,nM,620.0,CHEMBL251,Homo sapiens,Ki
68,209238,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL114185,7.57,=,nM,27.0,CHEMBL251,Homo sapiens,Ki
69,209240,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL323754,7.14,=,nM,73.0,CHEMBL251,Homo sapiens,Ki
70,211206,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL375190,6.44,=,nM,363.0,CHEMBL251,Homo sapiens,Ki
71,211597,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110047,7.8,=,nM,16.0,CHEMBL251,Homo sapiens,Ki
72,211599,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL419191,7.24,=,nM,57.0,CHEMBL251,Homo sapiens,Ki
73,212748,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL324591,7.77,=,nM,17.0,CHEMBL251,Homo sapiens,Ki
74,212750,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113142,9.1,=,nM,0.8,CHEMBL251,Homo sapiens,Ki
75,214725,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL319387,8.24,=,nM,5.7,CHEMBL251,Homo sapiens,Ki
76,216257,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325237,8.05,=,nM,9.0,CHEMBL251,Homo sapiens,Ki
77,217145,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL261623,6.71,=,nM,196.0,CHEMBL251,Homo sapiens,Ki
78,217492,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL433162,6.71,=,nM,197.0,CHEMBL251,Homo sapiens,Ki
79,219977,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110069,8.52,=,nM,3.0,CHEMBL251,Homo sapiens,Ki
80,219979,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL332718,8.1,=,nM,8.0,CHEMBL251,Homo sapiens,Ki
81,220737,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2113551,5.96,=,nM,1100.0,CHEMBL251,Homo sapiens,Ki
82,220743,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL259938,7.37,=,nM,43.0,CHEMBL251,Homo sapiens,Ki
83,221045,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113468,7.12,=,nM,76.0,CHEMBL251,Homo sapiens,Ki
84,221047,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113412,7.24,=,nM,57.0,CHEMBL251,Homo sapiens,Ki
85,224333,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611562,5.21,=,nM,6100.0,CHEMBL251,Homo sapiens,Ki
86,246626,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611273,5.22,=,nM,6083.0,CHEMBL251,Homo sapiens,Ki
87,253502,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611561,5.29,=,nM,5096.0,CHEMBL251,Homo sapiens,Ki
88,264126,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611552,5.17,=,nM,6750.0,CHEMBL251,Homo sapiens,Ki
89,305279,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL329294,5.85,=,nM,1400.0,CHEMBL251,Homo sapiens,Ki
90,306583,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97757,6.77,=,nM,170.0,CHEMBL251,Homo sapiens,Ki
91,307883,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97760,7.0,=,nM,100.0,CHEMBL251,Homo sapiens,Ki
92,309371,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL94538,5.75,=,nM,1800.0,CHEMBL251,Homo sapiens,Ki
93,309377,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL321769,6.24,=,nM,580.0,CHEMBL251,Homo sapiens,Ki
94,313264,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL102429,5.64,=,nM,2300.0,CHEMBL251,Homo sapiens,Ki
95,313272,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL183,6.7,=,nM,200.0,CHEMBL251,Homo sapiens,Ki
96,314628,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL313864,6.2,=,nM,630.0,CHEMBL251,Homo sapiens,Ki
97,317038,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97665,5.16,=,nM,7000.0,CHEMBL251,Homo sapiens,Ki
98,317044,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL418797,5.6,=,nM,2500.0,CHEMBL251,Homo sapiens,Ki
99,317053,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL103553,5.75,=,nM,1800.0,CHEMBL251,Homo sapiens,Ki
100,320682,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL104999,6.3,=,nM,500.0,CHEMBL251,Homo sapiens,Ki
101,321909,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97896,5.72,=,nM,1900.0,CHEMBL251,Homo sapiens,Ki
102,321915,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL323288,5.14,=,nM,7200.0,CHEMBL251,Homo sapiens,Ki
103,323373,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL102753,5.85,=,nM,1400.0,CHEMBL251,Homo sapiens,Ki
104,324488,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL104998,5.64,=,nM,2300.0,CHEMBL251,Homo sapiens,Ki
105,325627,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL328214,5.19,=,nM,6500.0,CHEMBL251,Homo sapiens,Ki
106,326832,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL103150,6.05,=,nM,900.0,CHEMBL251,Homo sapiens,Ki
107,328417,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97687,7.18,=,nM,66.0,CHEMBL251,Homo sapiens,Ki
108,329640,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL329293,5.9,=,nM,1250.0,CHEMBL251,Homo sapiens,Ki
109,330857,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97549,6.34,=,nM,460.0,CHEMBL251,Homo sapiens,Ki
110,330869,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL103559,5.54,=,nM,2900.0,CHEMBL251,Homo sapiens,Ki
111,332195,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97624,6.08,=,nM,830.0,CHEMBL251,Homo sapiens,Ki
112,334954,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL105000,5.0,=,nM,10000.0,CHEMBL251,Homo sapiens,Ki
113,334960,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL323303,6.64,=,nM,230.0,CHEMBL251,Homo sapiens,Ki
114,340220,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL321330,5.12,=,nM,7500.0,CHEMBL251,Homo sapiens,Ki
115,341399,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97337,6.38,=,nM,420.0,CHEMBL251,Homo sapiens,Ki
116,342506,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97037,5.7,=,nM,2000.0,CHEMBL251,Homo sapiens,Ki
117,342512,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97895,5.82,=,nM,1500.0,CHEMBL251,Homo sapiens,Ki
118,343684,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL316630,6.34,=,nM,460.0,CHEMBL251,Homo sapiens,Ki
119,345142,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL95384,6.33,=,nM,470.0,CHEMBL251,Homo sapiens,Ki
120,345148,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL102430,5.23,=,nM,5900.0,CHEMBL251,Homo sapiens,Ki
121,350104,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL100832,4.54,=,nM,28900.0,CHEMBL251,Homo sapiens,Ki
122,351766,CHEMBL644662,Binding affinity for human adenosine A2A receptor in CHO cells using [3H]CGS-21680,B,CHEMBL200732,6.65,=,nM,223.0,CHEMBL251,Homo sapiens,Ki
123,354434,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL101391,5.35,=,nM,4500.0,CHEMBL251,Homo sapiens,Ki
124,355887,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL328812,4.34,=,nM,46000.0,CHEMBL251,Homo sapiens,Ki
125,355890,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL323074,4.66,=,nM,21700.0,CHEMBL251,Homo sapiens,Ki
126,357343,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL113,4.32,=,nM,48000.0,CHEMBL251,Homo sapiens,Ki
127,358759,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL319555,5.08,=,nM,8400.0,CHEMBL251,Homo sapiens,Ki
128,359031,CHEMBL644662,Binding affinity for human adenosine A2A receptor in CHO cells using [3H]CGS-21680,B,CHEMBL203357,6.8,=,nM,158.0,CHEMBL251,Homo sapiens,Ki
129,361312,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL319534,4.31,=,nM,49000.0,CHEMBL251,Homo sapiens,Ki
130,365765,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL101554,4.64,=,nM,22900.0,CHEMBL251,Homo sapiens,Ki
131,366158,CHEMBL644662,Binding affinity for human adenosine A2A receptor in CHO cells using [3H]CGS-21680,B,CHEMBL431733,5.27,=,nM,5360.0,CHEMBL251,Homo sapiens,Ki
132,370041,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL190,4.6,=,nM,25000.0,CHEMBL251,Homo sapiens,Ki
133,370044,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL100810,4.28,=,nM,52800.0,CHEMBL251,Homo sapiens,Ki
134,377047,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL100347,4.89,=,nM,13000.0,CHEMBL251,Homo sapiens,Ki
135,377050,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL100440,4.87,=,nM,13500.0,CHEMBL251,Homo sapiens,Ki
136,387525,CHEMBL642228,Percent displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells at 10 uM,B,CHEMBL201706,7.7,=,nM,20.0,CHEMBL251,Homo sapiens,Ki
137,388766,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL101525,4.24,=,nM,58000.0,CHEMBL251,Homo sapiens,Ki
138,388769,CHEMBL639494,Affinity to A2 adenosine receptor was measured by the displacement of [3H]-CGS- 21680 in bovine brain striatal membrane,B,CHEMBL100346,5.0,=,nM,10000.0,CHEMBL251,Homo sapiens,Ki
139,391068,CHEMBL640526,In vitro inhibition of human neutrophil activation via Adenosine A2A receptor.,B,CHEMBL131457,9.8,=,nM,0.16,CHEMBL251,Homo sapiens,Ki
140,392420,CHEMBL640526,In vitro inhibition of human neutrophil activation via Adenosine A2A receptor.,B,CHEMBL131242,10.1,=,nM,0.08,CHEMBL251,Homo sapiens,Ki
141,393580,CHEMBL640526,In vitro inhibition of human neutrophil activation via Adenosine A2A receptor.,B,CHEMBL435188,8.21,=,nM,6.2,CHEMBL251,Homo sapiens,Ki
