,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,pchembl_value,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
36,194910,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL323945,8.52,=,nM,3.0,CHEMBL251,Homo sapiens,Ki,nM,3.0
37,195774,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092787,7.02,=,nM,96.0,CHEMBL251,Homo sapiens,Ki,nM,96.0
38,195780,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL262363,8.74,=,nM,1.8,CHEMBL251,Homo sapiens,Ki,nM,1.8
39,196118,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325993,7.21,=,nM,62.0,CHEMBL251,Homo sapiens,Ki,nM,62.0
40,196120,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325646,7.24,=,nM,57.0,CHEMBL251,Homo sapiens,Ki,nM,57.0
41,197938,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092786,6.56,=,nM,273.0,CHEMBL251,Homo sapiens,Ki,nM,273.0
42,198262,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325350,8.05,=,nM,9.0,CHEMBL251,Homo sapiens,Ki,nM,9.0
43,198264,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL109499,7.96,=,nM,11.0,CHEMBL251,Homo sapiens,Ki,nM,11.0
44,199174,CHEMBL642127,Displacement of [3H]CGS-21680 from Adenosine A2A receptor in bovine striatal membrane,B,CHEMBL309618,5.67,=,nM,2140.0,CHEMBL251,Homo sapiens,Ki,nM,2140.0
45,199226,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL410115,5.81,=,nM,1560.0,CHEMBL251,Homo sapiens,Ki,nM,1560.0
46,199627,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112773,8.70,=,nM,2.0,CHEMBL251,Homo sapiens,Ki,nM,2.0
47,200495,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092788,7.03,=,nM,94.0,CHEMBL251,Homo sapiens,Ki,nM,94.0
48,200501,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL438418,6.49,=,nM,324.0,CHEMBL251,Homo sapiens,Ki,nM,324.0
49,200824,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113376,7.57,=,nM,27.0,CHEMBL251,Homo sapiens,Ki,nM,27.0
50,200826,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110698,8.22,=,nM,6.0,CHEMBL251,Homo sapiens,Ki,nM,6.0
51,200828,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL114405,6.98,=,nM,104.0,CHEMBL251,Homo sapiens,Ki,nM,104.0
52,200830,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL17127,9.22,=,nM,0.6,CHEMBL251,Homo sapiens,Ki,nM,0.6
53,201721,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL408918,7.54,=,nM,29.0,CHEMBL251,Homo sapiens,Ki,nM,29.0
54,203305,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL109753,6.72,=,nM,190.0,CHEMBL251,Homo sapiens,Ki,nM,190.0
55,204201,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL410095,5.93,=,nM,1181.0,CHEMBL251,Homo sapiens,Ki,nM,1181.0
56,204532,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110074,8.40,=,nM,4.0,CHEMBL251,Homo sapiens,Ki,nM,4.0
57,204534,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL324077,8.22,=,nM,6.0,CHEMBL251,Homo sapiens,Ki,nM,6.0
58,204536,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL323621,8.40,=,nM,4.0,CHEMBL251,Homo sapiens,Ki,nM,4.0
59,204538,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL420307,8.30,=,nM,5.0,CHEMBL251,Homo sapiens,Ki,nM,5.0
60,205331,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL260563,5.91,=,nM,1230.0,CHEMBL251,Homo sapiens,Ki,nM,1230.0
61,206905,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112897,7.40,=,nM,40.0,CHEMBL251,Homo sapiens,Ki,nM,40.0
62,206907,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112249,6.72,=,nM,192.0,CHEMBL251,Homo sapiens,Ki,nM,192.0
63,206909,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL320349,7.92,=,nM,12.0,CHEMBL251,Homo sapiens,Ki,nM,12.0
64,207732,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL3350613,8.19,=,nM,6.4,CHEMBL251,Homo sapiens,Ki,nM,6.4
65,207738,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL224874,8.70,=,nM,2.0,CHEMBL251,Homo sapiens,Ki,nM,2.0
66,208069,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113009,7.36,=,nM,44.0,CHEMBL251,Homo sapiens,Ki,nM,44.0
67,208915,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL223270,6.21,=,nM,620.0,CHEMBL251,Homo sapiens,Ki,nM,620.0
68,209238,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL114185,7.57,=,nM,27.0,CHEMBL251,Homo sapiens,Ki,nM,27.0
69,209240,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL323754,7.14,=,nM,73.0,CHEMBL251,Homo sapiens,Ki,nM,73.0
70,211206,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL375190,6.44,=,nM,363.0,CHEMBL251,Homo sapiens,Ki,nM,363.0
71,211597,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110047,7.80,=,nM,16.0,CHEMBL251,Homo sapiens,Ki,nM,16.0
72,211599,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL419191,7.24,=,nM,57.0,CHEMBL251,Homo sapiens,Ki,nM,57.0
73,212748,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL324591,7.77,=,nM,17.0,CHEMBL251,Homo sapiens,Ki,nM,17.0
74,212750,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113142,9.10,=,nM,0.8,CHEMBL251,Homo sapiens,Ki,nM,0.8
75,214725,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL319387,8.24,=,nM,5.7,CHEMBL251,Homo sapiens,Ki,nM,5.7
76,216257,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325237,8.05,=,nM,9.0,CHEMBL251,Homo sapiens,Ki,nM,9.0
77,217145,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL261623,6.71,=,nM,196.0,CHEMBL251,Homo sapiens,Ki,nM,196.0
78,217492,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL433162,6.71,=,nM,197.0,CHEMBL251,Homo sapiens,Ki,nM,197.0
79,219977,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110069,8.52,=,nM,3.0,CHEMBL251,Homo sapiens,Ki,nM,3.0
80,219979,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL332718,8.10,=,nM,8.0,CHEMBL251,Homo sapiens,Ki,nM,8.0
81,220737,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2113551,5.96,=,nM,1100.0,CHEMBL251,Homo sapiens,Ki,nM,1100.0
82,220743,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL259938,7.37,=,nM,43.0,CHEMBL251,Homo sapiens,Ki,nM,43.0
83,221045,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113468,7.12,=,nM,76.0,CHEMBL251,Homo sapiens,Ki,nM,76.0
84,221047,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113412,7.24,=,nM,57.0,CHEMBL251,Homo sapiens,Ki,nM,57.0
85,224333,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611562,5.21,=,nM,6100.0,CHEMBL251,Homo sapiens,Ki,nM,6100.0
86,246626,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611273,5.22,=,nM,6083.0,CHEMBL251,Homo sapiens,Ki,nM,6083.0
87,253502,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611561,5.29,=,nM,5096.0,CHEMBL251,Homo sapiens,Ki,nM,5096.0
88,262784,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL464859,7.82,=,nM,15.1,CHEMBL251,Homo sapiens,Ki,nM,15.1
89,264126,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611552,5.17,=,nM,6750.0,CHEMBL251,Homo sapiens,Ki,nM,6750.0
90,305279,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL329294,5.85,=,nM,1400.0,CHEMBL251,Homo sapiens,Ki,nM,1400.0
91,305282,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL329294,6.31,=,nM,490.0,CHEMBL251,Homo sapiens,Ki,nM,490.0
92,306583,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97757,6.77,=,nM,170.0,CHEMBL251,Homo sapiens,Ki,nM,170.0
93,306586,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97757,5.57,=,nM,2700.0,CHEMBL251,Homo sapiens,Ki,nM,2700.0
94,307883,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97760,7.00,=,nM,100.0,CHEMBL251,Homo sapiens,Ki,nM,100.0
95,307886,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97760,6.35,=,nM,450.0,CHEMBL251,Homo sapiens,Ki,nM,450.0
96,307891,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL17127,8.70,=,nM,2.0,CHEMBL251,Homo sapiens,Ki,nM,2.0
97,307894,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL17127,8.49,=,nM,3.25,CHEMBL251,Homo sapiens,Ki,nM,3.25
98,309371,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL94538,5.75,=,nM,1800.0,CHEMBL251,Homo sapiens,Ki,nM,1800.0
99,309374,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL94538,5.39,=,nM,4100.0,CHEMBL251,Homo sapiens,Ki,nM,4100.0
100,309377,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL321769,6.24,=,nM,580.0,CHEMBL251,Homo sapiens,Ki,nM,580.0
101,309380,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL321769,5.47,=,nM,3400.0,CHEMBL251,Homo sapiens,Ki,nM,3400.0
102,313264,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL102429,5.64,=,nM,2300.0,CHEMBL251,Homo sapiens,Ki,nM,2300.0
103,313267,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL102429,5.89,=,nM,1300.0,CHEMBL251,Homo sapiens,Ki,nM,1300.0
104,313272,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL183,6.70,=,nM,200.0,CHEMBL251,Homo sapiens,Ki,nM,200.0
105,313275,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL183,6.84,=,nM,144.0,CHEMBL251,Homo sapiens,Ki,nM,144.0
106,314628,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL313864,6.20,=,nM,630.0,CHEMBL251,Homo sapiens,Ki,nM,630.0
107,314631,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL313864,6.36,=,nM,440.0,CHEMBL251,Homo sapiens,Ki,nM,440.0
108,317038,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97665,5.16,=,nM,7000.0,CHEMBL251,Homo sapiens,Ki,nM,7000.0
109,317044,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL418797,5.60,=,nM,2500.0,CHEMBL251,Homo sapiens,Ki,nM,2500.0
110,317047,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL418797,5.77,=,nM,1700.0,CHEMBL251,Homo sapiens,Ki,nM,1700.0
111,317053,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL103553,5.75,=,nM,1800.0,CHEMBL251,Homo sapiens,Ki,nM,1800.0
112,320682,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL104999,6.30,=,nM,500.0,CHEMBL251,Homo sapiens,Ki,nM,500.0
113,320685,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL104999,6.96,=,nM,110.0,CHEMBL251,Homo sapiens,Ki,nM,110.0
114,321909,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97896,5.72,=,nM,1900.0,CHEMBL251,Homo sapiens,Ki,nM,1900.0
115,321912,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97896,5.32,=,nM,4800.0,CHEMBL251,Homo sapiens,Ki,nM,4800.0
116,321915,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL323288,5.14,=,nM,7200.0,CHEMBL251,Homo sapiens,Ki,nM,7200.0
117,321918,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL323288,5.42,=,nM,3800.0,CHEMBL251,Homo sapiens,Ki,nM,3800.0
118,323373,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL102753,5.85,=,nM,1400.0,CHEMBL251,Homo sapiens,Ki,nM,1400.0
119,324488,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL104998,5.64,=,nM,2300.0,CHEMBL251,Homo sapiens,Ki,nM,2300.0
120,324491,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL104998,5.80,=,nM,1600.0,CHEMBL251,Homo sapiens,Ki,nM,1600.0
121,325627,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL328214,5.19,=,nM,6500.0,CHEMBL251,Homo sapiens,Ki,nM,6500.0
122,326832,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL103150,6.05,=,nM,900.0,CHEMBL251,Homo sapiens,Ki,nM,900.0
123,326835,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL103150,6.00,=,nM,1000.0,CHEMBL251,Homo sapiens,Ki,nM,1000.0
124,328417,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97687,7.18,=,nM,66.0,CHEMBL251,Homo sapiens,Ki,nM,66.0
125,328420,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97687,7.00,=,nM,100.0,CHEMBL251,Homo sapiens,Ki,nM,100.0
126,329640,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL329293,5.90,=,nM,1250.0,CHEMBL251,Homo sapiens,Ki,nM,1250.0
127,329643,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL329293,6.64,=,nM,230.0,CHEMBL251,Homo sapiens,Ki,nM,230.0
128,330857,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97549,6.34,=,nM,460.0,CHEMBL251,Homo sapiens,Ki,nM,460.0
129,330860,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97549,6.26,=,nM,550.0,CHEMBL251,Homo sapiens,Ki,nM,550.0
130,330869,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL103559,5.54,=,nM,2900.0,CHEMBL251,Homo sapiens,Ki,nM,2900.0
131,330872,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL103559,6.01,=,nM,970.0,CHEMBL251,Homo sapiens,Ki,nM,970.0
132,332195,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97624,6.08,=,nM,830.0,CHEMBL251,Homo sapiens,Ki,nM,830.0
